height, expanded nodes, train_precision, test_precision
1,1,0.7855917667238422,0.7202797202797203
1,1,0.7874149659863946,0.7101449275362319
1,1,0.70375,0.685
1,1,0.7862190812720848,0.725
1,1,0.70625,0.675
1,1,0.7831325301204819,0.7310344827586207
1,1,0.6975,0.71
1,1,0.69875,0.705
1,1,0.69625,0.715
1,1,0.7897435897435897,0.7021276595744681
1,1,0.7750865051903114,0.7635135135135135
1,1,0.70125,0.695
1,1,0.69875,0.705
1,1,0.7783505154639175,0.75
1,1,0.7,0.7
1,1,0.71125,0.655
1,1,0.7596491228070176,0.8205128205128205
1,1,0.6975,0.71
1,1,0.71375,0.645
1,1,0.7,0.7
1,1,0.6975,0.71
1,1,0.70625,0.675
1,1,0.7025,0.69
1,1,0.71875,0.625
1,1,0.7075,0.67
1,1,0.69625,0.715
1,1,0.69875,0.705
1,1,0.7675213675213676,0.7943262411347518
1,1,0.71625,0.635
1,1,0.68875,0.745
1,1,0.785958904109589,0.7183098591549296
1,1,0.6875,0.75
1,1,0.68875,0.745
1,1,0.7705479452054794,0.7816901408450704
1,1,0.70875,0.665
1,1,0.7675213675213676,0.7943262411347518
1,1,0.69875,0.705
1,1,0.705,0.68
1,1,0.7075,0.67
1,1,0.7025,0.69
1,1,0.69,0.74
1,1,0.6925,0.73
1,1,0.71,0.66
1,1,0.695,0.72
1,1,0.69125,0.735
1,1,0.70125,0.695
1,1,0.69375,0.725
1,1,0.70375,0.685
1,1,0.70125,0.695
1,1,0.70125,0.695
2,5,0.7866666666666666,0.7876712328767124
2,5,0.8148854961832062,0.8380281690140845
2,5,0.782312925170068,0.8291139240506329
2,5,0.7953020134228188,0.78
2,5,0.7570093457943925,0.7857142857142857
2,5,0.7889273356401384,0.8296296296296296
2,5,0.7907801418439716,0.8456375838926175
2,5,0.8093587521663779,0.75
2,5,0.800978792822186,0.7278911564625851
2,5,0.8266666666666667,0.7943262411347518
2,5,0.800705467372134,0.7986111111111112
2,5,0.7883333333333333,0.7808219178082192
2,5,0.7356020942408377,0.6666666666666666
2,5,0.7763975155279503,0.738255033557047
2,5,0.7880794701986755,0.8098591549295775
2,5,0.779874213836478,0.7261146496815286
2,5,0.8067796610169492,0.7414965986394558
2,5,0.7897350993377483,0.75
2,5,0.797962648556876,0.7837837837837838
2,5,0.7903494176372712,0.8
2,5,0.7933333333333333,0.7602739726027398
2,5,0.7589158345221113,0.686046511627907
2,5,0.7976782752902156,0.7452229299363057
2,5,0.7818791946308725,0.8066666666666666
2,5,0.7925801011804384,0.7908496732026143
2,5,0.7935702199661591,0.7671232876712328
2,5,0.7796610169491526,0.8397435897435898
2,5,0.7712609970674487,0.6666666666666666
2,5,0.8130671506352087,0.8120300751879699
2,5,0.8031358885017421,0.7697368421052632
2,5,0.7325428194993412,0.6804123711340206
2,5,0.7976973684210527,0.7681159420289855
2,5,0.7808896210873146,0.8129496402877698
2,5,0.7486111111111111,0.6989247311827957
2,5,0.7669291338582677,0.7784810126582279
2,5,0.7912457912457912,0.7697368421052632
2,5,0.806070826306914,0.738562091503268
2,5,0.774885145482389,0.7142857142857143
2,5,0.7527624309392266,0.6593406593406593
2,5,0.7859531772575251,0.8251748251748252
2,5,0.7936241610738255,0.7866666666666666
2,5,0.7884297520661157,0.7801418439716312
2,5,0.7985989492119089,0.8169014084507042
2,5,0.7925531914893617,0.8389261744966443
2,5,0.7922948073701842,0.7651006711409396
2,5,0.7869127516778524,0.7866666666666666
2,5,0.7268965517241379,0.7624309392265194
2,5,0.8192567567567568,0.6883116883116883
2,5,0.7529761904761905,0.7393939393939394
2,5,0.7901861252115059,0.8
3,27,0.8482871125611745,0.7241379310344828
3,24,0.8119122257053292,0.79375
3,25,0.8480801335559266,0.7971014492753623
3,24,0.8736263736263736,0.8
3,24,0.8446771378708552,0.8226950354609929
3,23,0.8375634517766497,0.7658227848101266
3,27,0.8366666666666667,0.7553956834532374
3,24,0.846815834767642,0.7880794701986755
3,25,0.8659217877094972,0.8642857142857143
3,25,0.8441330998248686,0.8389261744966443
3,24,0.8425460636515912,0.7586206896551724
3,26,0.8541666666666666,0.7622377622377622
3,27,0.8344051446945338,0.7549668874172185
3,25,0.843103448275862,0.8
3,25,0.8387096774193549,0.831081081081081
3,23,0.8576388888888888,0.7549668874172185
3,21,0.8221859706362153,0.7891156462585034
3,25,0.8470588235294118,0.795774647887324
3,25,0.8415672913117547,0.78125
3,24,0.8422876949740035,0.8299319727891157
3,24,0.8504347826086956,0.8071428571428572
3,22,0.8050595238095238,0.7361963190184049
3,28,0.8495726495726496,0.782312925170068
3,25,0.8419243986254296,0.8355263157894737
3,24,0.8258785942492013,0.7579617834394905
3,23,0.8218298555377207,0.7621951219512195
3,23,0.8614864864864865,0.6971830985915493
3,27,0.8422764227642277,0.6975308641975309
3,24,0.8674242424242424,0.8467153284671532
